index,product,category,sub_category,brand,sale_price,market_price,type,rating,rating_status,discount_amt,discount_pct
1,garlic oil - vegetarian capsule 500 mg,Beauty & Hygiene,Hair Care,sri sri ayurveda,220.0,220.0,Hair Oil & Serum,4.1,Rated,0.0,0.0
2,water bottle - orange,"Kitchen, Garden & Pets",Storage & Accessories,mastercook,180.0,180.0,Water & Fridge Bottles,2.3,Rated,0.0,0.0
3,"brass angle deep - plain, no.2",Cleaning & Household,Pooja Needs,trm,119.0,250.0,Lamp & Lamp Oil,3.4,Rated,131.0,52.400000000000006
4,cereal flip lid container/storage jar - assorted colour,Cleaning & Household,Bins & Bathroom Ware,nakoda,149.0,176.0,"Laundry, Storage Baskets",3.7,Rated,27.0,15.340909090909092
5,creme soft soap - for hands & body,Beauty & Hygiene,Bath & Hand Wash,nivea,162.0,162.0,Bathing Bars & Soaps,4.4,Rated,0.0,0.0
6,germ - removal multipurpose wipes,Cleaning & Household,All Purpose Cleaners,nature protect,169.0,199.0,Disinfectant Spray & Cleaners,3.3,Rated,30.0,15.07537688442211
7,multani mati,Beauty & Hygiene,Skin Care,satinance,58.0,58.0,Face Care,3.6,Rated,0.0,0.0
8,hand sanitizer - 70% alcohol base,Beauty & Hygiene,Bath & Hand Wash,bionova,250.0,250.0,Hand Wash & Sanitizers,4.0,Rated,0.0,0.0
9,biotin & collagen volumizing hair shampoo + biotin & collagen hair conditioner,Beauty & Hygiene,Hair Care,stbotanica,1098.0,1098.0,Shampoo & Conditioner,3.5,Rated,0.0,0.0
10,"scrub pad - anti- bacterial, regular",Cleaning & Household,"Mops, Brushes & Scrubs",scotch brite,20.0,20.0,"Utensil Scrub-Pad, Glove",4.3,Rated,0.0,0.0
11,wheat grass powder - raw,Gourmet & World Food,Cooking & Baking Needs,nutrashil,261.0,290.0,Flours & Pre-Mixes,4.0,Rated,29.0,10.0
12,butter cookies gold collection,Gourmet & World Food,Chocolates & Biscuits,sapphire,600.0,600.0,"Luxury Chocolates, Gifts",2.2,Rated,0.0,0.0
13,"face wash - oil control, active",Beauty & Hygiene,Skin Care,oxy,110.0,110.0,Face Care,5.0,Rated,0.0,0.0
14,mold & mildew remover with bleach,Cleaning & Household,All Purpose Cleaners,clorox,350.0,350.0,Floor & Other Cleaners,3.8,Rated,0.0,0.0
15,just spray - mosquito repellent room spray,Cleaning & Household,Fresheners & Repellents,herbal strategi,200.0,200.0,Mosquito Repellent,4.2,Rated,0.0,0.0
16,dove plastic soap case - assorted colour,Cleaning & Household,Bins & Bathroom Ware,nakoda,49.0,59.0,Soap Cases & Dispensers,4.0,Rated,10.0,16.94915254237288
17,smooth skin oil - for dry skin,Beauty & Hygiene,Skin Care,aroma treasures,324.0,360.0,Aromatherapy,5.0,Rated,36.0,10.0
18,salted pumpkin,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",graminway,180.0,180.0,Roasted Seeds & Nuts,4.9,Rated,0.0,0.0
19,flax seeds - roasted,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",true elements,120.0,120.0,Roasted Seeds & Nuts,4.3,Rated,0.0,0.0
20,organic tofu - soy paneer,Gourmet & World Food,Dairy & Cheese,murginns,85.14,90.0,Tofu,3.9,Rated,4.859999999999999,5.3999999999999995
21,ceramic barrel brush - colour may vary,Beauty & Hygiene,Hair Care,bronson professional,525.0,700.0,Tools & Accessories,4.2,Rated,175.0,25.0
22,instant noodles - chicken satay flavor,Gourmet & World Food,"Pasta, Soup & Noodles",koka,45.0,50.0,Imported Noodles,4.1,Rated,5.0,10.0
23,chia seeds,"Foodgrains, Oil & Masala",Dry Fruits,naturobell,120.0,120.0,Other Dry Fruits,3.9,Rated,0.0,0.0
24,cleanse green tea - whole leaf loose tea,Gourmet & World Food,Drinks & Beverages,cambridge tea party,75.0,75.0,Gourmet Tea & Tea Bags,3.9,Rated,0.0,0.0
25,veggie cutter,"Kitchen, Garden & Pets",Kitchen Accessories,irich,195.0,195.0,Choppers & Graters,5.0,Rated,0.0,0.0
26,insulated hot fresh casserole for roti/chapati - white,"Kitchen, Garden & Pets",Flask & Casserole,cello,659.0,895.0,Casserole,3.3,Rated,236.0,26.368715083798882
27,granola - happy berries,Snacks & Branded Foods,Breakfast Cereals,fit & flex,245.0,265.0,Granola & Cereal Bars,3.5,Rated,20.0,7.547169811320755
28,flaxseed - pesticide free,"Foodgrains, Oil & Masala",Dry Fruits,safe harvest,53.9,55.0,Other Dry Fruits,4.0,Rated,1.1000000000000014,2.0000000000000027
29,paratha puff,Snacks & Branded Foods,Frozen Veggies & Snacks,switz,90.0,110.0,Frozen Veg Snacks,4.3,Rated,20.0,18.181818181818183
30,lip butter - rose,Beauty & Hygiene,Skin Care,organic harvest,169.15,199.0,Lip Care,1.5,Rated,29.849999999999994,14.999999999999996
31,fruit power - masala sugarcane,Beverages,Fruit Juices & Drinks,real,19.0,20.0,Juices,2.9,Rated,1.0,5.0
32,chocobakes choc filled cookies,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",cadbury,102.0,120.0,"Bakery Biscuits, Cookies",4.2,Rated,18.0,15.0
33,amber - deodorant body spray,Beauty & Hygiene,Fragrances & Deos,old spice,211.65,249.0,Men's Deodorants,3.4,Rated,37.349999999999994,14.999999999999996
34,green tea - tulsi loose leaf,Beverages,Tea,octavius,225.0,225.0,Green Tea,3.7,Rated,0.0,0.0
35,pet solitaire container set - silver,"Kitchen, Garden & Pets",Storage & Accessories,steelo,499.0,969.0,Containers Sets,3.9,Rated,470.0,48.503611971104235
36,dhania - dal,"Foodgrains, Oil & Masala",Masalas & Spices,bb royal,98.0,120.0,Whole Spices,4.1,Rated,22.0,18.333333333333332
37,pudina chutney masala,"Foodgrains, Oil & Masala",Masalas & Spices,catch,46.75,55.0,Blended Masalas,3.9,Rated,8.25,15.0
38,bodylicious deodorant spray - mate (for men),Beauty & Hygiene,Fragrances & Deos,engage,136.5,195.0,Men's Deodorants,4.1,Rated,58.5,30.0
39,"sport deo spray - fresh, for men",Beauty & Hygiene,Men's Grooming,engage,112.75,205.0,Men's Deodorants,3.7,Rated,92.25,45.0
40,choco deck - mini delights,Snacks & Branded Foods,Chocolates & Candies,fabelle,160.0,200.0,Chocolates,4.4,Rated,40.0,20.0
41,eau de toilette - homme green,Beauty & Hygiene,Fragrances & Deos,colour me,427.5,450.0,Eau De Toilette,4.3,Rated,22.5,5.0
